iter	Passed	Remaining
403	13213	19492
404	13239	19450
405	13270	19416
406	13292	19366
407	13325	19334
408	13356	19300
409	13390	19269
410	13415	19226
411	13443	19186
412	13472	19147
413	13501	19110
414	13535	19079
415	13570	19050
416	13598	19011
417	13626	18972
418	13650	18928
419	13681	18893
420	13714	18860
421	13739	18818
422	13770	18783
423	13801	18749
424	13832	18714
425	13860	18676
426	13886	18634
427	13909	18589
428	13929	18540
429	13944	18485
430	13964	18435
431	13984	18387
432	14012	18348
433	14050	18324
434	14088	18299
435	14128	18276
436	14169	18254
437	14207	18230
438	14252	18213
439	14293	18192
440	14330	18165
441	14387	18163
442	14431	18145
443	14468	18117
444	14509	18096
445	14556	18081
446	14598	18060
447	14630	18026
448	14671	18004
449	14708	17976
450	14738	17940
451	14766	17903
452	14796	17866
453	14830	17835
454	14863	17803
455	14892	17766
456	14926	17734
457	14968	17713
458	15006	17687
459	15034	17649
460	15063	17611
461	15097	17581
462	15139	17559
463	15178	17533
464	15207	17496
465	15238	17462
466	15264	17421
467	15302	17394
468	15344	17373
469	15388	17353
470	15450	17353
471	15488	17326
472	15528	17300
473	15543	17248
474	15577	17217
475	15628	17204
476	15668	17179
477	15702	17147
478	15730	17110
479	15792	17108
480	15833	17084
481	15871	17056
482	15902	17022
483	15935	16988
484	15965	16953
485	16007	16929
486	16040	16896
487	16080	16870
488	16112	16837
489	16138	16797
490	16163	16755
491	16190	16716
492	16217	16678
493	16245	16640
494	16268	16597
495	16297	16560
496	16319	16516
497	16345	16476
498	16372	16438
499	16399	16399
500	16431	16365
501	16463	16332
502	16493	16296
503	16532	16270
504	16583	16255
505	16624	16230
506	16660	16200
507	16699	16173
508	16743	16151
509	16784	16126
510	16822	16097
511	16854	16064
512	16870	16015
513	16896	15976
514	16949	15962
515	16987	15934
516	17013	15894
517	17043	15858
518	17088	15837
519	17111	15794
520	17136	15755
521	17169	15722
522	17193	15681
523	17222	15644
524	17239	15597
525	17286	15577
526	17330	15554
527	17381	15537
528	17416	15506
529	17462	15485
530	17515	15470
531	17566	15453
532	17608	15428
533	17653	15405
534	17684	15370
535	17724	15343
536	17774	15324
537	17806	15291
538	17846	15264
539	17901	15249
540	17946	15226
541	17982	15195
542	18012	15159
543	18056	15136
544	18092	15104
545	18137	15081
546	18164	15042
547	18195	15008
548	18224	14971
549	18262	14942
550	18285	14900
551	18311	14861
552	18344	14828
553	18375	14793
554	18401	14754
555	18429	14717
556	18461	14682
557	18489	14645
558	18512	14604
559	18534	14562
560	18568	14530
561	18592	14489
562	18616	14450
563	18644	14412
564	18669	14373
565	18692	14332
566	18716	14293
567	18740	14253
568	18773	14220
569	18791	14175
570	18810	14132
571	18834	14092
572	18853	14049
573	18881	14013
574	18904	13972
575	18933	13937
576	18956	13896
577	18978	13856
578	19001	13816
579	19027	13778
580	19049	13737
581	19083	13705
582	19102	13663
583	19132	13628
584	19158	13591
585	19183	13552
586	19213	13517
587	19238	13479
588	19267	13444
589	19290	13405
590	19311	13364
591	19333	13324
592	19357	13285
593	19378	13245
594	19400	13205
595	19429	13170
596	19454	13132
597	19476	13093
598	19500	13054
599	19523	13015
600	19559	12985
601	19588	12950
602	19609	12910
603	19633	12872
604	19665	12839
605	19697	12806
606	19733	12776
607	19763	12742
608	19787	12703
609	19814	12668
610	19853	12640
611	19875	12600
612	19903	12565
613	19933	12531
614	19964	12498
615	20007	12472
616	20049	12445
617	20080	12412
618	20110	12377
619	20141	12344
620	20181	12316
621	20217	12286
622	20251	12254
623	20277	12218
624	20299	12179
625	20322	12141
626	20349	12106
627	20383	12074
628	20409	12038
629	20436	12002
630	20461	11965
631	20485	11928
632	20514	11893
633	20538	11856
634	20566	11821
635	20588	11783
636	20615	11748
637	20644	11713
638	20666	11675
639	20690	11638
640	20716	11602
641	20738	11564
642	20764	11528
643	20795	11495
644	20815	11456
645	20839	11420
646	20863	11383
647	20894	11349
648	20922	11315
649	20948	11279
650	20986	11250
651	21036	11228
652	21071	11197
653	21115	11171
654	21151	11140
655	21198	11116
656	21226	11081
657	21254	11047
658	21279	11011
659	21303	10974
660	21325	10937
661	21350	10901
662	21372	10863
663	21401	10829
664	21424	10792
665	21450	10757
666	21472	10720
667	21516	10693
668	21557	10665
669	21588	10633
670	21620	10600
671	21640	10562
672	21668	10528
673	21690	10491
674	21717	10456
675	21749	10424
676	21770	10387
677	21798	10352
678	21830	10320
679	21856	10285
680	21878	10248
681	21900	10211
682	21916	10172
683	21932	10132
684	21949	10093
685	21968	10055
686	21993	10020
687	22013	9982
688	22039	9947
689	22063	9912
690	22082	9874
691	22109	9840
692	22139	9808
693	22161	9771
694	22184	9735
695	22208	9700
696	22228	9663
697	22257	9629
698	22276	9592
699	22300	9557
700	22323	9521
701	22351	9488
702	22375	9453
703	22395	9416
704	22420	9381
705	22442	9345
706	22465	9310
707	22491	9276
708	22521	9243
709	22545	9208
710	22571	9174
711	22590	9137
712	22611	9101
713	22635	9066
714	22662	9033
715	22698	9003
716	22719	8967
717	22739	8931
718	22767	8898
719	22796	8865
720	22826	8832
721	22851	8798
722	22881	8766
723	22904	8731
724	22930	8697
725	22954	8663
726	22983	8630
727	23011	8597
728	23036	8563
729	23074	8534
730	23111	8504
731	23154	8477
732	23199	8450
733	23233	8419
734	23274	8391
735	23323	8366
736	23356	8334
737	23381	8300
738	23419	8271
739	23472	8246
740	23510	8217
741	23540	8185
742	23570	8152
743	23608	8123
744	23641	8092
745	23668	8058
746	23700	8027
747	23729	7994
748	23757	7961
749	23787	7929
750	23815	7896
751	23837	7861
752	23863	7827
753	23896	7796
754	23922	7763
755	23957	7732
756	23992	7701
757	24021	7669
758	24176	7676
759	24237	7653
760	24273	7623
761	24313	7593
762	24334	7558
763	24357	7524
764	24373	7487
765	24395	7452
766	24416	7417
767	24442	7383
768	24461	7348
769	24481	7312
770	24499	7276
771	24515	7240
772	24532	7204
773	24553	7169
774	24575	7134
775	24593	7099
776	24614	7064
777	24643	7031
778	24684	7002
779	24707	6968
780	24725	6933
781	24744	6898
782	24765	6863
783	24790	6830
784	24809	6795
785	24832	6761
786	24853	6726
787	24867	6690
788	24891	6656
789	24912	6622
790	24932	6587
791	24955	6554
792	24980	6520
793	25000	6486
794	25022	6452
795	25040	6417
796	25068	6385
797	25098	6353
798	25123	6320
799	25146	6286
800	25166	6252
801	25183	6217
802	25211	6185
803	25232	6151
804	25252	6117
805	25282	6085
806	25299	6050
807	25318	6016
808	25337	5982
809	25356	5947
810	25375	5913
811	25392	5879
812	25419	5846
813	25441	5813
814	25466	5780
815	25485	5746
816	25510	5714
817	25535	5681
818	25555	5647
819	25571	5613
820	25590	5579
821	25611	5545
822	25633	5512
823	25654	5479
824	25672	5445
825	25689	5411
826	25708	5377
827	25729	5344
828	25751	5311
829	25769	5278
830	25790	5245
831	25807	5211
832	25822	5176
833	25842	5143
834	25864	5110
835	25880	5077
836	25900	5043
837	25929	5012
838	25952	4980
839	25980	4948
840	25999	4915
841	26016	4881
842	26034	4848
843	26052	4815
844	26081	4784
845	26100	4751
846	26116	4717
847	26134	4684
848	26151	4651
