iter	Passed	Remaining
418	2350	3258
419	2354	3251
420	2359	3245
421	2365	3239
422	2371	3234
423	2376	3228
424	2381	3222
425	2386	3216
426	2392	3210
427	2397	3204
428	2402	3198
429	2408	3193
430	2414	3187
431	2419	3180
432	2423	3173
433	2428	3167
434	2433	3160
435	2437	3153
436	2442	3147
437	2447	3140
438	2452	3133
439	2456	3126
440	2461	3119
441	2466	3113
442	2471	3106
443	2475	3100
444	2480	3093
445	2484	3086
446	2489	3079
447	2494	3073
448	2498	3066
449	2503	3059
450	2508	3053
451	2514	3048
452	2520	3043
453	2526	3037
454	2531	3032
455	2537	3026
456	2542	3021
457	2548	3015
458	2553	3009
459	2558	3003
460	2563	2997
461	2569	2991
462	2574	2985
463	2578	2978
464	2583	2972
465	2588	2965
466	2592	2959
467	2597	2952
468	2601	2945
469	2606	2939
470	2611	2933
471	2617	2927
472	2621	2921
473	2627	2915
474	2631	2908
475	2636	2902
476	2641	2896
477	2646	2890
478	2652	2885
479	2658	2879
480	2663	2873
481	2667	2866
482	2672	2860
483	2677	2854
484	2682	2848
485	2686	2841
486	2690	2834
487	2695	2828
488	2700	2821
489	2705	2815
490	2710	2810
491	2715	2804
492	2720	2798
493	2726	2792
494	2732	2787
495	2737	2781
496	2742	2775
497	2746	2768
498	2751	2762
499	2756	2756
500	2760	2749
501	2765	2743
502	2769	2736
503	2775	2731
504	2779	2724
505	2784	2718
506	2789	2712
507	2794	2706
508	2798	2699
509	2803	2694
510	2809	2688
511	2813	2681
512	2818	2675
513	2823	2669
514	2828	2663
515	2833	2657
516	2838	2651
517	2842	2645
518	2847	2639
519	2852	2633
520	2857	2626
521	2861	2620
522	2867	2614
523	2871	2608
524	2876	2602
525	2880	2595
526	2886	2590
527	2891	2584
528	2895	2578
529	2900	2572
530	2905	2566
531	2910	2560
532	2915	2554
533	2919	2547
534	2924	2541
535	2929	2535
536	2934	2529
537	2939	2524
538	2943	2517
539	2948	2511
540	2953	2505
541	2957	2499
542	2962	2493
543	2967	2487
544	2971	2481
545	2976	2475
546	2981	2469
547	2985	2462
548	2990	2456
549	2995	2450
550	3000	2444
551	3005	2439
552	3010	2433
553	3015	2427
554	3020	2421
555	3025	2415
556	3030	2410
557	3035	2404
558	3041	2399
559	3046	2393
560	3051	2387
561	3055	2381
562	3060	2375
563	3065	2369
564	3070	2363
565	3074	2357
566	3079	2351
567	3084	2345
568	3089	2339
569	3093	2333
570	3098	2327
571	3104	2322
572	3109	2317
573	3114	2311
574	3118	2305
575	3123	2299
576	3129	2294
577	3135	2289
578	3140	2283
579	3144	2277
580	3149	2271
581	3153	2264
582	3158	2259
583	3163	2253
584	3168	2247
585	3172	2241
586	3177	2235
587	3181	2229
588	3186	2223
589	3191	2217
590	3196	2211
591	3201	2206
592	3207	2201
593	3212	2195
594	3217	2189
595	3222	2184
596	3226	2178
597	3230	2171
598	3235	2166
599	3240	2160
600	3245	2154
601	3250	2149
602	3255	2143
603	3259	2137
604	3265	2131
605	3270	2126
606	3275	2120
607	3281	2115
608	3286	2109
609	3291	2104
610	3297	2099
611	3301	2093
612	3307	2087
613	3312	2082
614	3318	2077
615	3323	2071
616	3329	2066
617	3334	2061
618	3339	2055
619	3344	2050
620	3349	2043
621	3353	2037
622	3358	2032
623	3362	2026
624	3367	2020
625	3373	2015
626	3378	2009
627	3382	2003
628	3386	1997
629	3391	1991
630	3395	1985
631	3400	1980
632	3405	1974
633	3409	1968
634	3413	1962
635	3419	1956
636	3424	1951
637	3429	1945
638	3434	1940
639	3438	1934
640	3443	1928
641	3448	1922
642	3453	1917
643	3457	1911
644	3462	1905
645	3467	1899
646	3471	1894
647	3476	1888
648	3480	1882
649	3486	1877
650	3491	1871
651	3496	1866
652	3501	1860
653	3511	1857
654	3516	1852
655	3521	1846
656	3527	1841
657	3533	1836
658	3540	1831
659	3546	1827
660	3551	1821
661	3557	1816
662	3562	1810
663	3568	1805
664	3573	1800
665	3578	1794
666	3584	1789
667	3589	1784
668	3594	1778
669	3599	1773
670	3605	1767
671	3610	1762
672	3616	1757
673	3621	1751
674	3627	1746
675	3633	1741
676	3638	1736
677	3644	1730
678	3649	1725
679	3654	1719
680	3659	1714
681	3664	1708
682	3670	1703
683	3675	1697
684	3679	1692
685	3684	1686
686	3689	1681
687	3695	1675
688	3700	1670
689	3705	1664
690	3710	1659
691	3715	1653
692	3720	1648
693	3726	1643
694	3731	1637
695	3736	1632
696	3742	1626
697	3747	1621
698	3752	1615
699	3757	1610
700	3762	1604
701	3767	1599
702	3772	1593
703	3777	1588
704	3782	1582
705	3788	1577
706	3793	1572
707	3799	1566
708	3804	1561
709	3809	1555
710	3814	1550
711	3820	1545
712	3825	1540
713	3831	1534
714	3837	1529
715	3843	1524
716	3849	1519
717	3855	1514
718	3861	1508
719	3866	1503
720	3872	1498
721	3877	1493
722	3884	1488
723	3890	1482
724	3895	1477
725	3901	1472
726	3906	1467
727	3912	1461
728	3918	1456
729	3924	1451
730	3930	1446
731	3936	1441
732	3941	1435
733	3947	1430
734	3952	1425
735	3958	1419
736	3964	1414
737	3970	1409
738	3975	1404
739	3981	1398
740	3987	1393
741	3992	1388
742	3998	1382
743	4004	1378
744	4011	1372
745	4015	1367
746	4021	1361
747	4025	1356
748	4031	1350
749	4037	1345
750	4042	1340
751	4047	1334
752	4054	1329
753	4059	1324
754	4064	1319
755	4069	1313
756	4075	1308
757	4081	1303
758	4087	1297
759	4093	1292
760	4099	1287
761	4104	1281
762	4109	1276
763	4114	1270
764	4120	1265
765	4125	1260
766	4130	1254
767	4135	1249
768	4141	1243
769	4146	1238
770	4152	1233
771	4157	1227
772	4163	1222
773	4169	1217
774	4174	1212
775	4179	1206
776	4184	1200
777	4189	1195
778	4195	1190
779	4201	1185
780	4207	1179
781	4213	1174
782	4219	1169
783	4225	1164
784	4232	1159
785	4238	1154
786	4244	1148
787	4250	1143
788	4257	1138
789	4263	1133
790	4268	1127
791	4274	1122
792	4280	1117
793	4285	1111
794	4290	1106
795	4296	1101
796	4301	1095
797	4306	1090
798	4311	1084
799	4318	1079
800	4324	1074
801	4330	1069
802	4335	1063
803	4341	1058
804	4346	1052
805	4351	1047
806	4356	1041
807	4362	1036
808	4366	1031
809	4372	1025
810	4378	1020
811	4383	1014
812	4389	1009
813	4393	1004
814	4398	998
815	4403	992
816	4408	987
817	4412	981
818	4417	976
819	4422	970
820	4426	965
821	4431	959
822	4436	954
823	4440	948
824	4445	943
825	4451	937
826	4456	932
827	4461	926
828	4466	921
829	4471	915
830	4475	910
831	4481	904
832	4487	899
833	4491	894
834	4496	888
835	4500	882
836	4505	877
837	4510	871
838	4515	866
839	4520	861
840	4525	855
841	4530	850
842	4535	844
843	4540	839
844	4545	833
845	4550	828
846	4556	823
847	4562	817
848	4568	812
849	4574	807
850	4580	801
851	4587	796
852	4593	791
853	4599	786
854	4605	781
855	4611	775
856	4616	770
857	4622	765
858	4628	759
859	4635	754
860	4640	749
861	4650	744
862	4663	740
863	4670	735
864	4676	729
865	4682	724
866	4687	719
867	4693	713
868	4699	708
869	4705	703
870	4711	697
871	4717	692
872	4722	687
873	4728	681
874	4734	676
875	4740	670
876	4745	665
877	4752	660
878	4759	655
879	4766	649
880	4771	644
881	4776	639
882	4781	633
883	4787	628
884	4792	622
885	4798	617
886	4803	611
887	4808	606
888	4813	601
889	4819	595
890	4824	590
891	4830	584
892	4837	579
893	4843	574
894	4848	568
895	4854	563
896	4860	558
897	4866	552
898	4872	547
899	4878	542
900	4884	536
901	4890	531
902	4895	525
903	4901	520
904	4907	515
905	4912	509
906	4918	504
907	4922	498
908	4929	493
909	4934	488
910	4940	482
911	4946	477
912	4951	471
913	4956	466
914	4960	460
915	4965	455
916	4970	449
917	4976	444
918	4982	439
919	4986	433
920	4992	428
921	4997	422
922	5002	417
923	5007	411
924	5013	406
925	5019	401
926	5024	395
927	5029	390
928	5034	384
929	5039	379
930	5043	373
931	5049	368
932	5054	362
933	5060	357
934	5065	352
935	5071	346
936	5076	341
937	5084	336
938	5090	330
939	5096	325
940	5102	319
941	5107	314
942	5113	309
943	5118	303
944	5123	298
945	5129	292
946	5135	287
947	5141	282
948	5147	276
949	5153	271
950	5160	265
951	5166	260
952	5173	255
953	5179	249
954	5184	244
955	5189	238
956	5195	233
957	5200	228
958	5205	222
959	5211	217
960	5217	211
961	5221	206
962	5227	200
963	5233	195
964	5238	190
965	5243	184
966	5248	179
967	5252	173
968	5257	168
969	5262	162
970	5266	157
971	5272	151
972	5277	146
973	5282	141
974	5287	135
975	5293	130
976	5298	124
977	5303	119
978	5310	113
979	5315	108
980	5321	103
981	5327	97
982	5333	92
983	5339	86
984	5344	81
985	5350	75
986	5355	70
987	5359	65
